#Q
??   1000.000     0.416400   6.265E8 1.00794
<<   1215.6701    0.416400   6.265E8 1.00794
>>   1215.6701    0.416400   6.265E8 1.00794
<>   1215.6701    0.416400   6.265E8 1.00794
__   1215.6701    0.416400   6.265E8 1.00794
H2J7 1151.6383790 0.000729867 1.82E9 2.01588 -0.03451983 ! L0 P7 2
H2J7 1134.8964860 0.002568610 1.70E9 2.01588 -0.02735538 ! L1 P7 2
H2J6 1131.7536180 0.000748072 1.83E9 2.01588 -0.02857077 ! L0 P6 2
H2J6 1125.7267470 0.000656326 1.80E9 2.01588 -0.02362649 ! L0 R6 2
H2J5 1125.5397680 0.000757692 1.84E9 2.01588 -0.02329085 ! L0 P5 2
H2J5 1120.4005890 0.000715714 1.82E9 2.01588 -0.01895450 ! L0 R5 2
H2J4 1120.2488375 0.000755955 1.85E9 2.01588 -0.01872438 ! L0 P4 3
H2J7 1119.0297010 0.005176020 1.59E9 2.01588 -0.02071215 ! L2 P7 2
H2J4 1116.0147190 0.000777988 1.83E9 2.01588 -0.01507444 ! L0 R4 2
H2J3 1115.8955338 0.000738064 1.86E9 2.01588 -0.01491660 ! L0 P3 3
H2J6 1115.4563840 0.002604310 1.71E9 2.01588 -0.02141170 ! L1 P6 2
H2J3 1112.5839476 0.000846784 1.84E9 2.01588 -0.01201537 ! L0 R3 3
H2J2 1112.4959858 0.000691459 1.86E9 2.01588 -0.01190946 ! L0 P2 3
H2J2 1110.1205602 0.000932201 1.85E9 2.01588 -0.00980419 ! L0 R2 3
H2J1 1110.0625579 0.000573914 1.87E9 2.01588 -0.00973852 ! L0 P1 3
H2J6 1109.8617270 0.002505800 1.68E9 2.01588 -0.01681549 ! L1 R6 2
H2J5 1109.3132590 0.002615850 1.72E9 2.01588 -0.01612812 ! L1 P5 1b
H2J1 1108.6332444 0.001077000 1.86E9 2.01588 -0.00846231 ! L0 R1 3
H2J0 1108.1273172 0.001664570 1.86E9 2.01588 -0.00800319 ! L0 R0 3
H2J5 1104.5483630 0.002676060 1.70E9 2.01588 -0.01212508 ! L1 R5 2
H2J4 1104.0839359 0.002595470 1.73E9 2.01588 -0.01155644 ! L1 P4 3
H2J7 1103.9822930 0.007843250 1.50E9 2.01588 -0.01457227 ! L3 P7 2
H2J4 1100.1644380 0.002854300 1.71E9 2.01588 -0.00820532 ! L1 R4 2
H2J6 1100.0199850 0.005209740 1.60E9 2.01588 -0.01478632 ! L2 P6 1b
H2J3 1099.7871793 0.002525690 1.73E9 2.01588 -0.00774742 ! L1 P3 3
H2J3 1096.7253204 0.003055710 1.72E9 2.01588 -0.00509470 ! L1 R3 3
H2J2 1096.4389099 0.002367130 1.74E9 2.01588 -0.00474693 ! L1 P2 3
H2J6 1094.7991630 0.005463250 1.58E9 2.01588 -0.01049178 ! L2 R6 2
H2J2 1094.2445629 0.003314800 1.73E9 2.01588 -0.00282772 ! L1 R2 3
H2J1 1094.0519565 0.001968520 1.74E9 2.01588 -0.00259287 ! L1 P1 3
H2J5 1093.9549450 0.005206730 1.61E9 2.01588 -0.00951288 ! L2 P5 1b
H2J1 1092.7323813 0.003780150 1.73E9 2.01588 -0.00143170 ! L1 R1 3
H2J0 1092.1951999 0.005783580 1.74E9 2.01588 -0.00092454 ! L1 R0 3
H2J7 1089.7064550 0.009941490 1.42E9 2.01588 -0.00891760 ! L4 P7 2
H2J5 1089.5131950 0.005739510 1.59E9 2.01588 -0.00579408 ! L2 R5 2
H2J4 1088.7953673 0.005150460 1.62E9 2.01588 -0.00494895 ! L2 P4 3
