Transition,Isotope,nu [MHz],dnu[MHz],w [/cm],dw [/cm],Reference,w [/cm],dw [/cm],Reference,l [Ang.],dl [Ang.],,,,,,,,,,
3934,40,761905012.7,0.5,25414.415619,0.000017,Wolf:2009:223901,25414.415619,0.000017,Wolf:2009:223901,3934.7747160,0.0000026,,,,,,,,,,
3969,40,755222766.2,1.7,25191.519868,0.000057,Wolf:2008:032511,25191.519868,0.000057,Wolf:2008:032511,3969.5897875,0.0000089,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Isotopes,,,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],Isotopic shifts measured by Martensson-Pendrill:1992:4675. Errors include 2MHz per mass unit difference from 44Ca.,,,,Isotopic shifts measured by Maleki:1992:524. Values for the 3934 & 3969 were averaged by Maleki:1992:524.,,,,,,w [/cm],err(w) [/cm],l [Ang.],dl [Ang.],,,,,,
,,dnu(44) [MHz],err[dnu(44)] [MHz],dnu(40) [MHz],err[dnu(40)] [MHz],dnu(40) [MHz],err[dnu(40)] [MHz],dnu(40) [MHz],err[dnu(40)] [MHz],dw [/cm],err(dw) [/cm],,,,,,,,,,
3934,,,,,,,,,,,Composite,25414.416438,0.000086,3934.774589,0.000013,,,,,,
48,0.187%,857,22,1699,31,1758.0,24.0,1736,19,0.05791,0.00063,25414.47353,0.00063,3934.765751,0.000098,,,,,,
46,0.004%,450,17,1292,28,1256.7,35.7,1279,22,0.04265,0.00073,25414.45827,0.00073,3934.768112,0.000113,,,,,,
44,2.086%,0,0,842,22,839.4,14.7,840,12,0.02803,0.00041,25414.44364,0.00041,3934.770377,0.000063,,,,,,
43,0.135%,-165,16,677,27,684.7,36.3,680,22,0.02267,0.00073,25414.43829,0.00073,3934.771205,0.000112,,,,,,
42,0.647%,-412,16,430,27,436.2,22.8,434,17,0.01446,0.00058,25414.43008,0.00058,3934.772477,0.000090,,,,,,
40,96.941%,-842,22,0,0,,,,,,,25414.415619,0.000017,3934.7747160,0.0000026,,,,,,
3969,,,,,,,,,,,Composite,25191.520685,0.000081,3969.589659,0.000013,,,,,,
48,0.187%,854,11,1696,16,1758.0,24.0,1714,13,0.05718,0.00044,25191.57705,0.00044,3969.580777,0.000069,,,,,,
46,0.004%,445.2,4.6,1287,12,1256.7,35.7,1284,11,0.04283,0.00038,25191.56270,0.00038,3969.583038,0.000060,,,,,,
44,2.086%,0,0,842,11,839.4,14.7,841,9,0.02805,0.00029,25191.54792,0.00030,3969.585367,0.000047,,,,,,
43,0.135%,-170,10,672,15,684.7,36.3,674,14,0.02248,0.00046,25191.54234,0.00046,3969.586246,0.000073,,,,,,
42,0.647%,-417,7,425,13,436.2,22.8,428,11,0.01427,0.00038,25191.53414,0.00038,3969.587539,0.000060,,,,,,
40,96.941%,-842,11,0,0,,,,,,,25191.519868,0.000057,3969.5897875,0.0000089,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],"Normal, specific and total mass shift constants and field shift constant [Berengut:2003:022502]. Uncertainties estimated as half differences between Berengut:2003:022502 and Safronova:2001:052501.",,,,,,Deviation in mean-square nuclear radii [Palmer:1984:2197],dnu [MHz],err(dnu) [MHz],dnu+ [MHz],dnu- [MHz],dw [/cm],dw+ [/cm],dw- [/cm],w [/cm],w+ [/cm],w- [/cm],err(w) [/cm],l [Ang.],dl [Ang.]
,,k_NMS [GHz amu],k_SMS [GHz amu],err(k_SMS) [GHz amu],k_MS [GHz amu],F [MHz/fm^2],err(F) [MHz/fm^2],d<r^2> [fm^2],,,,,,,,,,,,,
3934,,-417.97,2.8,30.0,-415.17,-284,3,,,,,,,,Composite,25414.416454,25414.416520,25414.416387,0.000066,3934.7745868,0.0000102
48,0.187%,,,,,,,-0.0044,1731,125,1856,1606,0.05774,0.06191,0.05357,25414.473362,25414.477531,25414.469193,0.004170,3934.7657760,0.0006455
46,0.004%,,,,,,,0.1242,1319,98,1417,1220,0.04398,0.04726,0.04071,25414.459600,25414.462876,25414.456325,0.003263,3934.7679067,0.0005052
44,2.086%,,,,,,,0.2832,863,68,932,794,0.02879,0.03109,0.02649,25414.444410,25414.446712,25414.442107,0.002274,3934.7702585,0.0003521
43,0.135%,,,,,,,0.1254,689,52,741,636,0.02297,0.02472,0.02121,25414.438585,25414.440343,25414.436827,0.001745,3934.7711603,0.0002702
42,0.647%,,,,,,,0.2153,433,36,469,397,0.01445,0.01566,0.01323,25414.430065,25414.431278,25414.428853,0.001191,3934.7724793,0.0001845
40,96.941%,,,,,,,,,,,,,,,25414.415619,25414.415619,25414.415619,0.000017,3934.7747160,0.0000026
3969,,-414.30,-13.4,30.0,-427.70,-284,3,,,,,,,,Composite,25191.520730,25191.520796,25191.520664,0.000066,3969.5896517,0.0000104
48,0.187%,,,,,,,-0.0044,1783,125,1908,1658,0.05949,0.06365,0.05532,25191.579354,25191.583523,25191.575185,0.004170,3969.5804140,0.0006570
46,0.004%,,,,,,,0.1242,1359,98,1458,1261,0.04534,0.04862,0.04207,25191.565213,25191.568488,25191.561937,0.003263,3969.5826423,0.0005142
44,2.086%,,,,,,,0.2832,892,68,961,823,0.02974,0.03204,0.02744,25191.549609,25191.551912,25191.547307,0.002274,3969.5851010,0.0003584
43,0.135%,,,,,,,0.1254,710,52,763,658,0.02370,0.02545,0.02194,25191.543564,25191.545322,25191.541806,0.001745,3969.5860536,0.0002750
42,0.647%,,,,,,,0.2153,448,36,484,412,0.01494,0.01616,0.01373,25191.534812,25191.536025,25191.533600,0.001191,3969.5874326,0.0001878
40,96.941%,,,,,,,,,,,,,,,25191.519868,25191.519868,25191.519868,0.000057,3969.5897875,0.0000089
,,,,,,,,,,,,,,,,,,,,,
Hyperfine structure,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hyperfine constants,,,,,,,,,,,,,,,,,,,,,
Level,Constant [MHz],Uncertainty,Reference/note,,,,,,,,,,,,,,,,,,
2s1/2,-806.40207160,0.00000008,"Magnetic dipole (A), experiment – Arbes:1994:27",,,,,,,,,,,,,,,,,,
2p1/2,-145.4,0.1,"A, experiment – Nortershauser:1998:33.",,,,,,,,,,,,,,,,,,
2p3/2,-31.0,0.2,"A, experiment – Nortershauser:1998:33.",,,,,,,,,,,,,,,,,,
2p3/2,-6.9,1.7,"Electric quadrupole (B), experiment – Nortershauser:1998:33.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Energy levels,,,,,,,,,,,,,,,,,,,,,
J,F,I,K,C,DE_M1 [MHz],eDE_M1 [MHz],DE_E2 [MHz],eDE_E2 [MHz],DE [MHz],eDE [MHz],,,,,,,,,,,
1.5,5,3.5,10.5,0.5,-162.75,1.05,-1.73,0.43,-164.48,1.13,,,,,,,,,,,
1.5,4,3.5,0.5,-0.9,-7.75,0.05,3.20,0.79,-4.55,0.79,,,,,,,,,,,
1.5,3,3.5,-7.5,-0.4,116.25,0.75,1.23,0.30,117.48,0.81,,,,,,,,,,,
1.5,2,3.5,-13.5,1.1,209.25,1.35,-3.70,0.91,205.55,1.63,,,,,,,,,,,
0.5,4,3.5,3.5,0.0,-254.45,0.18,0.00,0.00,-254.45,0.18,,,,,,,,,,,
0.5,3,3.5,-4.5,0.0,327.15,0.23,0.00,0.00,327.15,0.23,,,,,,,,,,,
0.5,4,3.5,3.5,0.0,-1411.20362530,0.00000014,0.00000000,0.00000000,-1411.20362530,0.00000014,,,,,,,,,,,
0.5,3,3.5,-4.5,0.0,1814.40466110,0.00000018,0.00000000,0.00000000,1814.40466110,0.00000018,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
43CaII3934 isotopic+hyperfine structure,,,,,,,,,,,,,,,,,,,,,
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew cm-1],l [Ang],el [Ang],Comment,6JSymbol^2,(2F_low+1)(2F_hi+1)*6JSymbol^2,Relative intensity,w [cm-1],ew cm-1],l [Ang],el [Ang],,,,,,
3,5,761903714,22,25414.37229,0.00073,3934.781425,0.000113,Forbidden,,,,,,,,,,,,,
3,4,761903874,22,25414.37762,0.00073,3934.780599,0.000113,,0.0149,0.9375,0.11719,25414.38165,0.00073,3934.779975,0.000113,,,,,,
3,3,761903996,22,25414.38169,0.00073,3934.779969,0.000113,,0.0268,1.3125,0.16406,,,,,,,,,,
3,2,761904084,22,25414.38463,0.00073,3934.779514,0.000113,,0.0357,1.2500,0.15625,,,,,,,,,,
4,5,761906939,22,25414.47988,0.00073,3934.764767,0.000113,,0.0278,2.7500,0.34375,25414.48235,0.00073,3934.764384,0.000113,,,,,,
4,4,761907099,22,25414.48521,0.00073,3934.763941,0.000113,,0.0162,1.3125,0.16406,,,,,,,,,,
4,3,761907221,22,25414.48928,0.00073,3934.763311,0.000113,,0.0069,0.4375,0.05469,,,,,,,,,,
4,2,761907309,22,25414.49222,0.00073,3934.762856,0.000113,Forbidden,,,,,,,,,,,,,
,,,,,,1414.797835,,,,,,,,,,,,,,,
43CaII3969 isotopic+hyperfine structure,,,,,,,,,,,,,,,,,,,,,
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew [cm-1],l [Ang],el [Ang],Comment,6JSymbol^2,(2F_low+1)(2F_hi+1)*6JSymbol^2,Relative intensity,w [cm-1],ew cm-1],l [Ang],el [Ang],,,,,,
3,4,755221371,14,25191.47333,0.00046,3969.597120,0.000073,,0.0417,2.6250,0.32813,25191.47818,0.00046,3969.596356,0.000073,,,,,,
3,3,755221953,14,25191.49273,0.00046,3969.594063,0.000073,,0.0179,0.8750,0.10938,,,,,,,,,,
4,4,755224597,14,25191.58093,0.00046,3969.580166,0.000073,,0.0231,1.8750,0.23438,25191.59225,0.00046,3969.578382,0.000073,,,,,,
4,3,755225178,14,25191.60033,0.00046,3969.577109,0.000073,,0.0417,2.6250,0.32813,,,,,,,,,,
,,,,,,1511.300686,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],w [cm-1],ew [cm-1],wl [Ang.],ewl [Ang.],,,,,,,,,,,,,,,,
3934,Composite,25414.416438,0.000086,3934.774589,0.000013,,,,,,,,,,,,,,,,
48,0.187%,25414.4735,0.0042,3934.76575,0.00065,,,,,,,,,,,,,,,,
46,0.004%,25414.4583,0.0033,3934.76811,0.00051,,,,,,,,,,,,,,,,
44,2.086%,25414.4436,0.0023,3934.77038,0.00035,,,,,,,,,,,,,,,,
43,0.059%,25414.38165,0.00073,3934.779975,0.000113,,,,,,,,,,,,,,,,
43,0.076%,25414.48235,0.00073,3934.764384,0.000113,,,,,,,,,,,,,,,,
42,0.647%,25414.4301,0.0012,3934.77248,0.00018,,,,,,,,,,,,,,,,
40,96.941%,25414.415619,0.000017,3934.7747160,0.0000026,,,,,,,,,,,,,,,,
3969,Composite,25191.520729,0.000066,3969.589652,0.000010,,,,,,,,,,,,,,,,
48,0.187%,25191.5794,0.0042,3969.58041,0.00066,,,,,,,,,,,,,,,,
46,0.004%,25191.5652,0.0033,3969.58264,0.00051,,,,,,,,,,,,,,,,
44,2.086%,25191.5496,0.0023,3969.58510,0.00036,,,,,,,,,,,,,,,,
43,0.059%,25191.47818,0.00046,3969.596356,0.000073,,,,,,,,,,,,,,,,
43,0.076%,25191.59225,0.00046,3969.578382,0.000073,,,,,,,,,,,,,,,,
42,0.647%,25191.5348,0.0012,3969.58743,0.00019,,,,,,,,,,,,,,,,
40,96.941%,25191.519868,0.000057,3969.5897875,0.0000089,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,,
Arbes:1994:27,http://adsabs.harvard.edu/abs/1994ZPhyD..31...27A,,,,,,,,,,,,,,,,,,,,
Berengut:2003:022502,http://adsabs.harvard.edu/abs/2003PhRvA..68b2502B,,,,,,,,,,,,,,,,,,,,
Dzuba:2007:062510,http://adsabs.harvard.edu/abs/2007PhRvA..76f2510D,,,,,,,,,,,,,,,,,,,,
Kurth:1995:227,http://adsabs.harvard.edu/abs/1995ZPhyD..34..227K,,,,,,,,,,,,,,,,,,,,
Maleki:1992:524,http://adsabs.harvard.edu/abs/1992PhRvA..45..524M,,,,,,,,,,,,,,,,,,,,
Martensson-Pendrill:1992:4675,http://adsabs.harvard.edu/abs/1992PhRvA..45.4675M,,,,,,,,,,,,,,,,,,,,
Nortershauser:1998:33,http://adsabs.harvard.edu/abs/1998EPJD....2...33N,,,,,,,,,,,,,,,,,,,,
Palmer:1984:2197,http://adsabs.harvard.edu/abs/1984JPhB...17.2197P,,,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,,,
Safronova:2001:052501,http://adsabs.harvard.edu/abs/2001PhRvA..64e2501S,,,,,,,,,,,,,,,,,,,,
Wolf:2008:032511,http://adsabs.harvard.edu/abs/2008PhRvA..78c2511W,,,,,,,,,,,,,,,,,,,,
Wolf:2009:223901,http://adsabs.harvard.edu/abs/2009PhRvL.102v3901W,,,,,,,,,,,,,,,,,,,,
