Transition,I2 transition,l [Ang.],dl [Ang.],Cross-over trans.,nu [MHz],dnu [MHz],,,,,,,,,,,,,,
5891,“n” of P 38 (15–2),5891.580220,0.000005,F=2–2 & F=1–2,508848923.1,0.5,16973.373061,0.000043,5891.580868,0.000015,,,,,,,,,,
5897,“o” of P 114 (14–1),5897.566617,0.000002,F=2–1 & F=2–2,508332507.7,0.5,16956.147299,0.000043,5897.566130,0.000015,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hyperfine structure,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hyperfine constants,,,,,,,,,,,,,,,,,,,,
Level,Constant [MHz],Uncertainty,Reference/note,,,,,,,,,,,,,,,,,
2s1/2,885.8130644,0.0000005,"Magnetic dipole (A), experiment – Beckmann:1974:173",,,,,,,,,,,,,,,,,
2p1/2,94.44,0.13,"A, experiment – Wijngaarden:1994:67.",,,,,,,,,,,,,,,,,
2p3/2,18.534,0.015,"A, experiment – Yei:1993:1909.",,,,,,,,,,,,,,,,,
2p3/2,2.724,0.030,"Electric quadrupole (B), experiment – Yei:1993:1909.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Energy levels,,,,,,,,,,,,,,,,,,,,
1,2,508334373.76,0.50,16956.2095441,0.000017,5897.5444801,0.0000058,,0.0833,1.2500,0.31250,16956.208494,0.000017,5897.5448453,0.0000058,,,,,
1,1,508334184.88,0.50,16956.2032437,0.000017,5897.5466714,0.0000058,,0.0278,0.2500,0.06250,,,,,,,,,
2,2,508332602.13,0.50,16956.1504490,0.000017,5897.5650341,0.0000058,,0.0500,1.2500,0.31250,16956.147299,0.000017,5897.5661297,0.0000058,,,,,
2,1,508332413.25,0.50,16956.1441486,0.000017,5897.5672254,0.0000058,,0.0833,1.2500,0.31250,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Transition/isotope,Relative intensity [%],w [cm-1],ew [cm-1],wl [Ang.],ewl [Ang.],,,,,,,,,,,,,,,
5891,Composite,16973.366206,0.000043,5891.583248,0.000015,,,,,,,,,,,,,,,
23,37.5%,16973.401853,0.000043,5891.570875,0.000015,,,,,,,,,,,,,,,
23,62.5%,16973.344818,0.000043,5891.590672,0.000015,,,,,,,,,,,,,,,
5897,Composite,16956.170247,0.000043,5897.558148,0.000015,,,,,,,,,,,,,,,
23,37.5%,16956.208494,0.000043,5897.544845,0.000015,,,,,,,,,,,,,,,
23,62.5%,16956.147299,0.000043,5897.566130,0.000015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,
Beckmann:1974:173,http://adsabs.harvard.edu/abs/1974ZPhy..270..173B,,,,,,,,,,,,,,,,,,,
Dzuba:2007:062510,http://adsabs.harvard.edu/abs/2007PhRvA..76f2510D,,,,,,,,,,,,,,,,,,,
Juncar:1981:77,http://adsabs.harvard.edu/abs/1981Metro..17...77J,,,,,,,,,,,,,,,,,,,
Wijngaarden:1994:67,http://adsabs.harvard.edu/abs/1994ZPhyD..32...67W,,,,,,,,,,,,,,,,,,,
Yei:1993:1909,http://adsabs.harvard.edu/abs/1993PhRvA..48.1909Y,,,,,,,,,,,,,,,,,,,
