38365.940      100.0
38366.086      15.4
38366.165      67.9
38366.206      1.2
38366.285      22.6
38366.346      42.9
38366.378      2.9
38366.439      23.1
38366.483      24.0
38366.505      4.0
38366.549      19.0
38366.575      10.4
38366.589      3.7
38366.615      13.0 
38542.886      100.0
38542.913      12.8
38543.032      12.8
38543.059      62.1
38543.080      19.2
38543.179      19.2
38543.200      35.9
38543.217      20.2
38543.293      20.2
38543.310      19.3
38543.322      16.9
38543.377      16.7
38543.389      10.2
38543.396      10.4
38543.428      10.4
38543.436      8.4  
38806.449      100.0
38806.475      9.7
38806.498      0.5
38806.621      76.0
38806.644      14.8
38806.662      1.0
38806.764      56.1
38806.782      16.0
38806.797      1.3
38806.875      40.1
38806.890      14.0
38806.900      1.0
38806.956      27.6
38806.966      9.2
38807.006      18.4
