C I** 1280.3331000 0.015200 1.170E+08
C I** 1280.8471000 0.005220 1.060E+08
C I*  1287.6076000 0.000060 1.460E+05
C I** 1288.0553000 0.000020 8.090E+04
C I   1328.8333000 0.075800 2.880E+08
C I*  1329.0849000 0.025400 2.890E+08
C I*  1329.1004000 0.031300 2.870E+08
C I*  1329.1233000 0.019100 2.880E+08
C I** 1329.5775000 0.056900 2.870E+08
C I** 1329.6004000 0.018900 2.880E+08
C I   1560.3092000 0.077400 1.270E+08
C I*  1560.6820000 0.058100 1.270E+08
C I*  1560.7089000 0.019300 1.270E+08
C I** 1561.3399000 0.011600 1.270E+08
C I** 1561.3668000 0.000772 1.270E+08
C I** 1561.4378000 0.064900 1.270E+08
C I   1656.9284000 0.149000 3.600E+08
C I*  1656.2672000 0.062100 3.610E+08
C I*  1657.3792000 0.037100 3.600E+08
C I*  1657.9071000 0.049400 3.600E+08
C I** 1657.0081000 0.111000 3.610E+08
C I** 1658.1211000 0.037100 3.610E+08
C II  1334.5323000 0.127800 2.880E+08
C II  1036.3367000 0.118000 2.200E+09
C II* 1335.7077000 0.115000 2.880E+08
C II* 1335.6627000 0.012770 2.880E+08
C II* 1037.0182000 0.118000 2.200E+09
C III  977.0201000 0.757000 1.760E+09
C IV  1548.2049000 0.189900 2.642E+08
C IV  1550.7784500 0.094750 2.628E+08
N I   1200.7098000 0.043200 4.000E+08
N I   1200.2233000 0.086900 4.020E+08
N I   1199.5496000 0.132000 4.070E+08
N I   1134.9803000 0.041600 1.440E+08
N I   1134.4149000 0.027800 1.490E+08
N I   1134.1653000 0.014600 1.510E+08
N I    965.0413000 0.003860 8.160E+07
N I    964.6256000 0.007900 8.310E+07
N I    963.9903000 0.012400 8.550E+07
N I    954.1042000 0.004000 1.410E+08
N I    953.9699000 0.033100 2.030E+08
N I    953.6549000 0.024700 2.100E+08
N I    953.4152000 0.012900 2.190E+08
N II  1083.9937000 0.111000 3.740E+08
N II   915.6131000 0.159000 1.270E+09
N III  989.7990000 0.123000 5.000E+08
N V   1238.8210000 0.156000 3.391E+08
N V   1242.8040000 0.077000 3.356E+08
O I   1355.5977000 0.000001 5.560E+03
O I   1302.1685000 0.048000 5.650E+08
O I   1039.2304000 0.009070 1.870E+08
O I   1026.4757000 0.000000 4.580E+07
O I   1025.7616000 0.016300 1.020E+08
O I    988.7734000 0.046500 2.260E+08
O I    988.6549000 0.008300 5.660E+07
O I    988.5778000 0.000553 6.290E+06
O I    976.4481000 0.003310 8.010E+07
O I    971.7382000 0.011600 8.580E+07
O I    971.7376000 0.002070 1.460E+07
O I    971.7371000 0.000138 1.630E+06
O I    950.8846000 0.001580 3.876E+07
O I    948.6855000 0.006310 2.900E+07
O I    937.8405000 0.000877 1.102E+07
O I    936.6295000 0.003650 1.704E+07
O I    930.2566000 0.000537 6.900E+06
O I    929.5168000 0.002290 1.000E+07
O I    925.4460000 0.000354 4.600E+06
O I    924.9500000 0.001540 1.000E+07
O I    922.2000000 0.000245 3.210E+06
O I    921.8570000 0.001080 1.000E+07
O I    919.9170000 0.000177 2.330E+06
O I    919.6580000 0.000792 1.000E+07
O I    919.2220000 0.000132 1.740E+06
O I    918.0440000 0.000614 1.000E+07
O I    916.9600000 0.000101 1.330E+06
O I    916.8150000 0.000474 1.000E+07
O I*  1304.8576000 0.047800 5.650E+08
O I** 1306.0286000 0.047800 5.650E+08
O II   834.4655000 0.132000 2.000E+08
O II   833.3294000 0.088600 2.000E+08
O II   832.7572000 0.044400 2.000E+08
O III  832.9270000 0.107000 2.000E+08
O III  702.3320000 0.137000 2.000E+08
O IV   787.7110000 0.110000 2.000E+08
O VI  1031.9261000 0.132500 4.149E+08
O VI  1037.6167000 0.065800 4.076E+08
O VII   21.6016900 0.696000 3.320E+12
O VII   18.6279900 0.146000 9.350E+11
F I    954.8267000 0.081700 7.140E+08
F I    951.8707000 0.016500 7.160E+08
NeVIII 780.3240000 0.050500 1.000E+08
NeVIII 770.4090000 0.103000 1.000E+08
NaI   5891.5833000 0.640800 6.157E+07
NaI   5897.5581000 0.320100 6.139E+07
NaI   3303.3690000 0.009200 9.641E+06
NaI   3303.9780000 0.004600 9.639E+06
NaI   2853.0120000 0.000677 5.540E+05
NaI   2852.8110000 0.001350 5.540E+05
MgI   2852.9627970 1.830000 5.000E+08
MgI   2026.4749788 0.113000 6.120E+07
MgI   1827.9351000 0.024200 1.610E+07
MgI   1747.7937000 0.009080 6.610E+06
MgI   1707.0606000 0.004370 3.330E+06
MgI   1683.4116000 0.002490 1.950E+06
MgI   1668.4288000 0.001600 1.280E+06
MgII  2796.3537860 0.615500 2.625E+08
MgII  2803.5309820 0.305800 2.595E+08
MgII  1240.3947000 0.000356 1.540E+06
MgII  1239.9253000 0.000632 1.370E+06
MgII  1026.1134000 0.000392 2.480E+06
MgII  1025.9681000 0.000743 2.350E+06
MgX    624.9500000 0.041000 2.000E+08
MgX    609.7900000 0.084200 2.000E+08
AlI   3945.1224000 0.116000 1.480E+08
AlI   3083.0462000 0.177000 7.450E+07
AlI   2367.7750000 0.106000 7.580E+07
AlI   2264.1647000 0.089200 7.140E+07
AlII  1670.7886100 1.740000 1.390E+09
AlIII 1862.7909740 0.278000 5.340E+08
AlIII 1854.7181460 0.559000 5.420E+08
SiI   2515.0725000 0.211000 2.220E+08
SiI   1845.5205000 0.270000 1.760E+08
SiI   1693.2939000 0.156000 1.210E+08
SiI   1631.1700000 0.205100 1.714E+08
SiI   1562.0020000 0.375800 3.425E+08
SiII  2335.1230000 0.000004 9.610E+03
SiII  1808.0128830 0.002080 2.380E+06
SiII  1526.7069800 0.133000 1.130E+09
SiII  1304.3702000 0.086300 1.010E+09
SiII  1260.4221000 1.180000 2.950E+09
SiII  1193.2897000 0.582000 4.070E+09
SiII  1190.4158000 0.292000 4.080E+09
SiII  1020.6989000 0.016800 6.680E+08
SiII   989.8731000 0.171000 6.673E+08
SiII* 1533.4316000 0.132000 1.130E+09
SiII* 1309.2757000 0.086000 1.010E+09
SiII* 1265.0020000 0.117000 2.950E+09
SiII* 1264.7377000 1.050000 2.930E+09
SiII* 1197.3938000 0.145000 4.070E+09
SiII* 1194.5002000 0.727000 4.080E+09
SiIII 1206.5000000 1.630000 2.480E+09
SiIV  1393.7601770 0.513000 8.800E+08
SiIV  1402.7729120 0.254000 8.620E+08
P I   1774.9487000 0.169000 2.380E+08
P I   1782.8291000 0.113000 2.380E+08
P II  1532.5330000 0.003030 4.770E+06
P II  1301.8743000 0.012700 4.820E+07
P II  1152.8180000 0.245000 1.230E+09
P II   963.8005000 1.458000 4.140E+09
P II   961.0412000 0.348900 5.090E+09
P III 1334.8132000 0.028200 6.320E+07
P III  997.9996000 0.111700 2.220E+09
P III  917.1178000 0.404000 4.780E+09
P III  913.9683000 0.203000 4.790E+09
P IV   950.6569000 1.490000 3.670E+09
P V   1128.0078000 0.233000 1.220E+09
P V   1117.9774000 0.472000 1.260E+09
S I   1807.3113000 0.090500 5.330E+08
S I   1473.9943000 0.082800 1.820E+08
S I   1295.6531000 0.087000 3.460E+08
S II  1259.5190000 0.016600 4.650E+07
S II  1253.8110000 0.010900 4.620E+07
S II  1250.5840000 0.005430 4.630E+07
S III 1190.2030000 0.023700 6.650E+07
S III 1012.4950000 0.043800 2.810E+08
S IV  1062.6640000 0.049400 1.690E+08
S VI   944.5230000 0.215000 1.610E+09
S VI   933.3780000 0.437000 1.670E+09
ClI   1347.2396000 0.153000 6.620E+08
ArI   1066.6598000 0.067500 1.320E+08
ArI   1048.2199000 0.263000 3.180E+07
CaI   4227.9180000 1.770000 2.200E+08
CaI   2276.1690000 0.066100 2.840E+07
CaII  3934.7750000 0.626700 1.444E+08
CaII  3969.5901000 0.311600 1.409E+08
ScII  3643.8220000 0.375000 1.610E+08
ScII  3581.9470000 0.237000 2.130E+08
ScII  3568.7150000 0.111000 2.130E+08
ScII  2563.9580000 0.088700 2.700E+08
ScIII 1610.1940000 0.086600 4.460E+08
ScIII 1603.0640000 0.017500 4.560E+07
TiII  3384.7298800 0.358000 1.750E+08
TiII  3242.9178500 0.232000 2.440E+08
TiII  3230.1215700 0.068700 2.440E+08
TiII  3073.8627800 0.121000 2.560E+08
TiII  3067.2373700 0.048900 2.500E+08
TiII  1910.9538000 0.098000 1.430E+08
TiII  1910.6123800 0.104000 4.170E+08
TiIII 1298.6970000 0.096400 6.350E+08
TiIII 1295.8840000 0.041800 1.660E+08
V II  2740.5250000 0.101000 3.000E+07
V II  2706.0210000 0.014200 2.130E+08
