Updated,18/05/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew cm-1],l [Ang],el [Ang],Comment,2F_up+1,2F_low+1,w [cm-1],ew cm-1],l [Ang],el [Ang],,,,,
2,4,1072083435.32,19.37,35760.85411,0.00065,2796.353792,0.000051,Forbidden,,,,,,,,,,,
2,3,1072083529.21,19.01,35760.85724,0.00063,2796.353547,0.000050,,7,5,35760.85819,0.00064,2796.353473,0.000050,,,,,
2,2,1072083575.57,19.28,35760.85879,0.00064,2796.353426,0.000050,,5,,,,,,,,,,
2,1,1072083595.02,19.73,35760.85943,0.00066,2796.353376,0.000051,,3,,,,,,,,,,
3,4,1072085224.08,19.37,35760.91377,0.00065,2796.349127,0.000051,,9,7,35760.91593,0.00064,2796.348958,0.000050,,,,,
3,3,1072085317.97,19.01,35760.91691,0.00063,2796.348882,0.000050,,7,,,,,,,,,,
3,2,1072085364.33,19.28,35760.91845,0.00064,2796.348761,0.000050,,5,,,,,,,,,,
3,1,1072085383.78,19.73,35760.91910,0.00066,2796.348710,0.000051,Forbidden,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
25MgII2803 isotopic+hyperfine structure,,,,,,,,,,,,,,,,,,,
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew [cm-1],l [Ang],el [Ang],Comment,2F_up+1,2F_low+1,w [cm-1],ew cm-1],l [Ang],el [Ang],,,,,
2,3,1069338791.99,19.09,35669.30266,0.00064,2803.531119,0.000050,,7,5,35669.30690,0.00064,2803.530786,0.000050,,,,,
2,2,1069339097.09,19.18,35669.31284,0.00064,2803.530319,0.000050,,5,,,,,,,,,,
3,3,1069340580.75,19.09,35669.36233,0.00064,2803.526429,0.000050,,7,7,35669.36657,0.00064,2803.526096,0.000050,,,,,
3,2,1069340885.85,19.18,35669.37250,0.00064,2803.525629,0.000050,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],w [cm-1],ew [cm-1],wl [Ang.],ewl [Ang.],,,,,,,,,,,,,,
2796,Composite,35760.85418,0.00020,2796.353786,0.000016,,18.403502,-863.388928,,,,,,,,,,,
26,11.01%,35760.9403866,0.0000053,2796.34704565,0.00000042,,39.218377,-864.861987,,,,,,,,,,,
25,4.17%,35760.85819,0.00064,2796.353473,0.000050,,85.535734,,,,,,,,,,,,
25,5.83%,35760.91593,0.00064,2796.348958,0.000050,,85.535591,,,,,,,,,,,,
24,78.99%,35760.8373967,0.0000053,2796.35509903,0.00000042,,,,,,,,,,,,,,
2803,Composite,35669.30440,0.00020,2803.530982,0.000016,,,,,,,,,,,,,,
26,11.01%,35669.3905712,0.0000053,2803.52420938,0.00000042,,,,,,,,,,,,,,
25,4.17%,35669.30690,0.00064,2803.530786,0.000050,,,,,,,,,,,,,,
25,5.83%,35669.36657,0.00064,2803.526096,0.000050,,,,,,,,,,,,,,
24,78.99%,35669.2876697,0.0000053,2803.53229720,0.00000042,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,
Batteiger:2009:022503,http://adsabs.harvard.edu/abs/2009PhRvA..80b2503B,,,,,,,,,,,,,,,,,,
Drullinger:1980:365,http://adsabs.harvard.edu/abs/1980ApPhy..22..365D,,,,,,,,,,,,,,,,,,
Itano:1981:1364,http://adsabs.harvard.edu/abs/1981PhRvA..24.1364I,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,
Sur:2005:25,http://adsabs.harvard.edu/abs/2005EPJD...32...25S,,,,,,,,,,,,,,,,,,
