# Line       lambda[A]       d(lambda)[A] f             K              Source
L  5 P(4)    1047.5518740    0.0000440    0.010990200    0.01188511    1b
L  5 P(5)    1052.4970070    0.0000443    0.011079400    0.00736695    1b
L  5 P(6)    1058.3183800    0.0011200    0.011112200    0.00214153    2 
L  5 P(7)    1076.1556270    0.0011581    0.011121900   -0.00372739    2 
L  5 R(0)    1036.5458060    0.0000430    0.026833700    0.02211196    1a
L  5 R(1)    1037.1499220    0.0000430    0.018134200    0.02148875    1a
L  5 R(2)    1038.6902670    0.0000432    0.016503000    0.01997239    1a
L  5 R(3)    1041.1589170    0.0000434    0.015846400    0.01758824    1a
L  5 R(4)    1044.5432630    0.0010911    0.015483900    0.01437358    2 
L  5 R(5)    1048.8299460    0.0011000    0.015227700    0.01037564    2 
L  5 R(6)    1053.9987370    0.0011109    0.015004500    0.00564897    2 
L  6 P(1)    1025.9351690    0.0000842    0.009094300    0.02529614    1a
L  6 P(2)    1028.1060910    0.0000846    0.010629800    0.02324105    1b
L  6 P(3)    1031.1926020    0.0000851    0.011110200    0.02032577    1b
L  6 P(4)    1035.1825100    0.0010716    0.011265700    0.01659124    2 
L  6 P(5)    1040.0586820    0.0010817    0.011303400    0.01208886    2 
L  6 P(6)    1045.8043040    0.0010937    0.011304600    0.00687799    2 
L  6 P(7)    1063.2888330    0.0011306    0.011307800    0.00102254    2 
L  6 R(0)    1024.3739540    0.0000839    0.028708500    0.02672449    1a
L  6 R(1)    1024.9879030    0.0000840    0.019575200    0.02608105    1a
L  6 R(2)    1026.5280830    0.0010538    0.017965600    0.02454448    2 
L  6 R(3)    1028.9855770    0.0010588    0.017388400    0.02214038    2 
L  6 R(4)    1032.3509570    0.0010658    0.017120300    0.01890632    2 
L  6 R(5)    1036.6045700    0.0010745    0.016965200    0.01488993    2 
L  6 R(6)    1041.7328170    0.0010852    0.016844300    0.01014630    2 
L  7 P(1)    1014.3272400    0.0000514    0.008982220    0.02953792    1a
L  7 P(2)    1016.4612480    0.0000517    0.010232300    0.02750099    1b
L  7 P(3)    1019.5022370    0.0000520    0.010475800    0.02460346    1b
L  7 P(4)    1023.4368010    0.0000629    0.010492400    0.02088590    1b
L  7 P(5)    1028.2474910    0.0010573    0.010468400    0.01639930    2 
L  7 P(6)    1033.9178400    0.0010690    0.010460600    0.01120261    2 
L  7 P(7)    1051.0715340    0.0011048    0.010486600    0.00535938    2 
L  7 R(0)    1012.8130270    0.0000513    0.029702000    0.03092982    1a
L  7 R(1)    1013.4370090    0.0000514    0.020504300    0.03026841    1a
L  7 R(2)    1014.9768460    0.0000618    0.018936500    0.02871411    1a
L  7 R(3)    1017.4231480    0.0010352    0.018384500    0.02629246    2 
L  7 R(4)    1020.7666500    0.0010420    0.018135800    0.02304091    2 
L  7 R(5)    1024.9894370    0.0010506    0.018009300    0.01900700    2 
L  7 R(6)    1030.0735750    0.0010611    0.017934000    0.01424573    2 
L  8 P(1)    1003.2966220    0.0000503    0.008465990    0.03339412    1a
L  8 P(2)    1005.3932010    0.0000505    0.009910710    0.03137464    1a
L  8 P(3)    1008.3861530    0.0000610    0.010429300    0.02849467    1a
L  8 P(4)    1012.2624210    0.0000513    0.010754400    0.02479431    1b
L  8 P(5)    1017.0042950    0.0000621    0.011220200    0.02029474    1b
L  8 P(6)    1022.5859160    0.0010457    0.012559200    0.01498634    2 
L  8 P(7)    1039.2104170    0.0010800    0.023255000   -0.00116452    2 
L  8 R(0)    1001.8238700    0.0000502    0.026767900    0.03475253    1a
L  8 R(1)    1002.4520980    0.0000502    0.018231700    0.03407534    1a
L  8 R(2)    1003.9854510    0.0000504    0.016616100    0.03250586    1a
