??    1215.6701000 0.416400  6.265E8  1.00 Unidentified ion!! MUST BE HERE
C II  1334.5323000 0.127800  2.870E8   M 91 g (Morton 91 APJS)
C II  1036.3367000 0.123100  2.290E9   M 91 g
C II* 1335.7077000 0.114900  2.864E8   M 91 g
C II* 1335.6627000 0.012770  2.870E8   M 91 g
C II* 1037.0182000 0.123000  2.290E9   M 91 g
C III  977.0200000 0.762000  1.775E9   M 91 g
C IV  1548.2036000 0.190800  2.654E8   M91
C IV  1550.7807000 0.095220  2.641E8   M91*Changed to Dzuba et al. value
N I   1200.7100000 0.044200  2.000E8
N I   1200.2230000 0.088500  2.000E8
N I   1199.5500000 0.133000  2.000E8
N I   1134.9800000 0.040200  2.000E8
N I   1134.4150000 0.026800  2.000E8
N I   1134.1650000 0.013400  2.000E8
N I    965.0410000 0.005020  2.000E8
N I    964.6260000 0.010000  2.000E8
N I    963.9900000 0.015100  2.000E8
N II  1083.9900000 0.101000  3.200E8
N II   915.6120000 0.148000  2.000E8
N III  989.7990000 0.106600  4.352E8   M91 see also MN 260, L11, 1993
N V   1238.8210000 0.157000  3.411E8   M91
N V   1242.8040000 0.078230  3.378E8   M91
O I   1302.1685000 0.048870  5.750E8   M91
O I   1355.5977000 1.248e-6  4.530E3   15.9994  M 91
O I   1039.2300000 0.009197  1.888E8   M91
O I   1026.4760000 0.002460  5.303E7   M91 plus two much weaker
O I   1025.7620000 0.020300  1.007E8   M91 BLEND OF 3 LINES
O I    988.7730000 0.042760  2.000E8
O I    988.6550000 0.007640  2.000E8
O I    988.5780000 0.000510  2.000E8
O I    976.4480000 0.003300  2.000E8
O I    971.7380000 0.014800  2.000E8
O I    950.8846000 1.571e-3  3.876E7  M 91 g
O I    948.6855000 6.446e-3  2.900E7  M 91 g sum 3
O I    937.8405000 8.722e-4  1.102E7  M 91
O I    936.6295000 3.735e-3  1.704E7  M 91 sum 3
O I*  1304.8580000 0.048500  1.300E8
O I** 1306.0290000 0.048500  4.100E7
O II   834.4655000 0.132000  2.000E8  VBT
O II   833.3294000 0.088600  2.000E8  VBT
O II   832.7572000 0.044400  2.000E8  VBT
O III  832.9270000 0.107000  2.000E8  VBT
O III  702.3320000 0.137000  2.000E8  VBT
O IV   787.7110000 0.110000  2.000E8  VBT
O VI  1031.9270000 0.130000  4.090E8
O VI  1037.6160000 0.064800  4.020E8
NeVIII 780.3240000 0.050500  1.000E8  VBT
NeVIII 770.4090000 0.103000  1.000E8  VBT
NaI   5891.5830000 0.655000  6.300E7
NaI   5897.5580000 0.327000  6.280E7
NaI   3303.3200000 0.013400  2.000E8
NaI   3303.9300000 0.006700  2.000E8
MgI   2852.9628590 1.830000  4.950e8 24.3050  86.0
MgI   2026.4749792 0.113000  1.200E8 24.3050  87.0
MgI   1827.9350000 0.023900  2.000E8 24.3050
