# Ion Label Mass   Omega         e(Omega)  X References                              lambda        e(lambda)  Ground                                   Upper                                            L    IP           f        q    dq   
MgI   2026  24.31  49346.772611  0.000036  1 ----                                    2026.4749792  0.0000015  3\rm{s}^2~^1\rm{S}_0                     3\rm{s}4\rm{p}~^1\rm{P}_1^{\rm{o}}               a_1  ---\,,~7.65   0.113     87     7
----  ----  29     71287.473031  ----      3 BerengutJ_03a                           1402.7710024  ----       ----                                     ----                                             ---- ----          4.7     ----  ----
----  ----  28     71287.364387  ----      3 BerengutJ_03a                           1402.7731402  ----       ----                                     ----                                             ---- ----         92.2     ----  ----
TiII  3067  47.87  32602.627     0.002     0 AldeniusM_06a                           3067.23750    0.00019    3\rm{d}^24\rm{s}~a^4\rm{F}_{3/2}         3\rm{d}^24\rm{p~z}^4\rm{D}_{3/2}^{\rm{o}}        g_1  6.82,~13.58   0.0489    791   50
----  ----  50     32602.651577  ----      3 BerengutJ_08a                           3067.2351837  ----       ----                                     ----                                             ---- ----          5.2     ----  ----
----  ----  49     32602.640059  ----      3 BerengutJ_08a                           3067.2362673  ----       ----                                     ----                                             ---- ----          5.4     ----  ----
----  ----  48     32602.628061  ----      3 BerengutJ_08a                           3067.2373961  ----       ----                                     ----                                             ---- ----         73.7     ----  ----
----  ----  47     32602.603236  ----      3 BerengutJ_08a                           3067.2397316  ----       ----                                     ----                                             ---- ----          7.4     ----  ----
----  ----  46     32602.615933  ----      3 BerengutJ_08a                           3067.2385371  ----       ----                                     ----                                             ---- ----          8.3     ----  ----
----  3073  47.87  32532.355     0.001     0 AldeniusM_06a                           3073.86293    0.00009    ----                                     3\rm{d}^24\rm{p~z}^4\rm{D}_{1/2}^{\rm{o}}        g_2  ----          0.121     677   50
----  ----  50     32532.379612  ----      3 BerengutJ_08a                           3073.8606027  ----       ----                                     ----                                             ---- ----          5.2     ----  ----
----  ----  49     32532.368077  ----      3 BerengutJ_08a                           3073.8616926  ----       ----                                     ----                                             ---- ----          5.4     ----  ----
----  ----  48     32532.356062  ----      3 BerengutJ_08a                           3073.8628278  ----       ----                                     ----                                             ---- ----         73.7     ----  ----
----  ----  47     32532.331204  ----      3 BerengutJ_08a                           3073.8651766  ----       ----                                     ----                                             ---- ----          7.4     ----  ----
----  ----  46     32532.343917  ----      3 BerengutJ_08a                           3073.8639753  ----       ----                                     ----                                             ---- ----          8.3     ----  ----
